Rank_Badge,College_Name
#1 Best Colleges in America,Massachusetts Institute of Technology
#2 Best Colleges in America,Yale University
#3 Best Colleges in America,Stanford University
#4 Best Colleges in America,Harvard University
#5 Best Colleges in America,Dartmouth College
#6 Best Colleges in America,Columbia University
#7 Best Colleges in America,Brown University
#8 Best Colleges in America,Rice University
#9 Best Colleges in America,Vanderbilt University
#10 Best Colleges in America,Princeton University
#11 Best Colleges in America,University of Pennsylvania
#12 Best Colleges in America,Duke University
#13 Best Colleges in America,Georgetown University
#14 Best Colleges in America,Harvey Mudd College
#15 Best Colleges in America,Washington University in St. Louis
#16 Best Colleges in America,Pomona College
#17 Best Colleges in America,Northwestern University
#18 Best Colleges in America,Carnegie Mellon University
#19 Best Colleges in America,California Institute of Technology
#20 Best Colleges in America,University of California - Los Angeles
#21 Best Colleges in America,Cornell University
#22 Best Colleges in America,Johns Hopkins University
#23 Best Colleges in America,University of Michigan - Ann Arbor
#24 Best Colleges in America,Claremont McKenna College
#25 Best Colleges in America,University of Chicago
